FA-Nr.,Artikelnr.,Bez./Artikel,Maschinenressource,AG-Starttermin,AG-Ende,KW,Tag,Wochentag,Planzeit [h],KI-Zeit [h],Ist-Zeit [h]
729606,ZJDEE0001113,Flachzuschnitt B 110  S 10  L 150,PC11,2025-04-28 08:19:00,2025-04-28 08:30:00,18,2025-04-28,Montag,2.259362125903415,2.290601863542495,
729607,ZJDEE0001113,Flachzuschnitt B 110  S 10  L 150,PC00,2025-04-28 21:44:00,2025-04-28 21:45:00,18,2025-04-28,Montag,3.3689386699298316,3.5170317508337017,
729610,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PM34,2025-04-11 06:07:00,2025-04-11 09:30:00,15,2025-04-11,Freitag,2.5349744959949168,3.3718940940440314,3.3833333333333333
729610,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PW72,2025-04-10 12:38:00,2025-04-10 16:38:00,15,2025-04-10,Donnerstag,2.7913602796472556,4.255985703068998,4.0
729612,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PM38,2025-04-11 06:07:00,2025-04-11 09:30:00,15,2025-04-11,Freitag,3.6207958089516925,3.2580280656297966,3.3833333333333333
729613,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",SM00,2025-04-08 20:24:00,2025-04-08 20:25:00,15,2025-04-08,Dienstag,0.018085233888414785,0.017247440465524386,0.016666666666666666
729613,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PW72,2025-04-10 12:02:00,2025-04-10 16:38:00,15,2025-04-10,Donnerstag,4.486734460792296,4.564651078293116,4.6
729614,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",QC20,2025-04-14 21:36:00,2025-04-14 21:45:00,16,2025-04-14,Montag,0.14437022699478816,0.12972743301705997,0.15
729615,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PM38,2025-04-11 06:07:00,2025-04-11 09:30:00,15,2025-04-11,Freitag,3.8279748633232744,3.0687893895514073,3.3833333333333333
729615,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PM54,2025-04-14 07:00:00,2025-04-14 08:21:00,16,2025-04-14,Montag,1.4248851489447165,1.4407034445182145,1.35
729616,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",SM00,2025-04-08 20:24:00,2025-04-08 20:25:00,15,2025-04-08,Dienstag,0.011811050561412439,0.01375130931252059,0.016666666666666666
729616,ZJDEE0001830,"Flansch DRBS NPS 42"" CL.300 S.A DI 1028/1029  DA 1290  L 432",PM44,2025-04-14 07:00:00,2025-04-14 08:21:00,16,2025-04-14,Montag,0.9316371460756996,1.1408744990181259,1.35
729618,ZJDEE0001609,"Flansch NPS 12"" Cl. 150 XS",SM00,2025-04-15 21:44:00,2025-04-15 21:45:00,16,2025-04-15,Dienstag,0.014356793711439582,0.01627690136701826,0.016666666666666666
729812,ZJDEE0001788,"Rohrschuss DRBS NPS 42"" DI 1028 DA 1040 H 225",PC41,2025-04-18 19:44:00,2025-04-18 20:53:00,16,2025-04-18,Freitag,0.9558380613285617,1.2149919781069505,1.15
729812,ZJDEE0001788,"Rohrschuss DRBS NPS 42"" DI 1028 DA 1040 H 225",PC41,2025-04-22 08:03:00,2025-04-22 08:30:00,17,2025-04-22,Dienstag,0.42544166484809226,0.3852316623419262,0.45
729811,ZJDEE0001788,"Rohrschuss DRBS NPS 42"" DI 1028 DA 1040 H 225",PW21,2025-04-21 09:52:00,2025-04-21 11:03:00,17,2025-04-21,Montag,0.8137243930642096,1.2630758649710963,1.1833333333333333
729815,ZJDEE0001828,Ronde D 1064 S 60,PC21,2025-05-19 07:36:00,2025-05-19 08:30:00,21,2025-05-19,Montag,1.695760861875205,1.6334512505729817,
729816,ZJDEE0001828,Ronde D 1064 S 60,PC00,2025-05-19 21:44:00,2025-05-19 21:45:00,21,2025-05-19,Montag,8.036478979951314,7.440117144259663,
729822,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",PM54,2025-06-02 12:59:00,2025-06-02 15:17:00,23,2025-06-02,Montag,9.382775509294666,10.190350589084597,
729823,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",QC10,2025-05-23 07:57:00,2025-05-23 08:27:00,21,2025-05-23,Freitag,8.880059269211234,8.10144222091924,
729823,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",PDD10,2025-05-23 21:41:00,2025-05-23 21:45:00,21,2025-05-23,Freitag,1.8725122454257068,1.7478398181679389,
729823,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",PDS10,2025-05-29 17:05:00,2025-05-29 18:47:00,22,2025-05-29,Donnerstag,8.501012788712854,7.936821308888282,
726170,ZJDEE0001627,"GEHAEUSEWANDUNG DRBS NPS 36"" B 407 S 25 L 3417",PC60,2025-05-02 13:44:00,2025-05-02 13:45:00,18,2025-05-02,Freitag,4.6830097920445,4.4909127524833545,
726172,B18585DE-06,"Doppelplatten - Rohrbrueckenschieber NPS 36"" FTF 1100",PDS10,2025-07-29 22:29:00,2025-07-30 08:29:00,31,2025-07-29,Dienstag,3.6559563022779615,3.590769519038971,
726172,B18585DE-06,"Doppelplatten - Rohrbrueckenschieber NPS 36"" FTF 1100",QC20,2025-07-28 11:22:00,2025-07-28 11:58:00,31,2025-07-28,Montag,6.071825200355453,5.468598331455146,
726172,B18585DE-06,"Doppelplatten - Rohrbrueckenschieber NPS 36"" FTF 1100",PM53,2025-08-06 17:52:00,2025-08-06 19:26:00,32,2025-08-06,Mittwoch,4.350410355871118,4.419201085199723,
726172,B18585DE-06,"Doppelplatten - Rohrbrueckenschieber NPS 36"" FTF 1100",QC00,2025-08-11 12:23:00,2025-08-11 14:08:00,33,2025-08-11,Montag,2.2262493608484393,2.39303372928115,
726173,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PW33,2025-05-26 23:11:00,2025-05-27 11:11:00,22,2025-05-26,Montag,2.3191542783402794,2.388074761392126,
726173,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PW34,2025-06-10 07:14:00,2025-06-10 08:29:00,24,2025-06-10,Dienstag,7.14140250022618,7.966044219406541,
726173,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PW34,2025-06-11 19:11:00,2025-06-12 08:26:00,24,2025-06-11,Mittwoch,0.617221371500655,0.5884808497512765,
726173,ZJDEE0001624,"Gehaeuse DRBS NPS 36""  FtF 1100",PM52,2025-07-07 09:59:00,2025-07-07 14:26:00,28,2025-07-07,Montag,5.405848811294069,5.104516725873375,
726174,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PC00,2025-06-18 14:28:00,2025-06-18 14:29:00,25,2025-06-18,Mittwoch,3.7694439225280463,3.77503877796166,
726174,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PM08,2025-06-19 11:44:00,2025-06-19 12:14:00,25,2025-06-19,Donnerstag,8.259858656617915,7.712402884513411,
726174,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PC22,2025-06-23 07:38:00,2025-06-23 08:29:00,26,2025-06-23,Montag,1.2069522104867416,1.0990691051926733,
726174,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PW21,2025-07-02 13:09:00,2025-07-02 17:54:00,27,2025-07-02,Mittwoch,4.881049155882455,4.700867831077128,
726174,ZJDEE0001655,"Haube DRBS NPS 36"" B 615  S 50  L 1425",PDS10,2025-07-08 13:03:00,2025-07-08 13:39:00,28,2025-07-08,Dienstag,7.554860647313362,6.810655145422146,
726180,ZJDEE0001610,"Rohrstutzen DN 2"" , CL.300 R.F. L 223 SCH 160",PM53,2025-04-30 21:40:00,2025-05-01 09:24:00,18,2025-04-30,Mittwoch,4.852707458099754,4.669197823081919,
726181,ZJDEE0002281,"Gehaeusehälfte DRBS NPS 36""",QC00,2025-04-28 16:46:00,2025-04-28 16:48:00,18,2025-04-28,Montag,4.5383999600469,4.571254737862951,
726181,ZJDEE0002281,"Gehaeusehälfte DRBS NPS 36""",PW33,2025-04-29 06:18:00,2025-04-29 12:57:00,18,2025-04-29,Dienstag,2.1685997081983825,2.583520126935189,
726375,ZJDEE0001633,"Gehaeuseflanschrippe DRBS NPS 36""  B 194 S 35 L 297.5",PC21,2025-04-29 10:43:00,2025-04-29 10:55:00,18,2025-04-29,Dienstag,9.302403455809102,10.749056126438957,
726376,ZJDEE0001633,"Gehaeuseflanschrippe DRBS NPS 36""  B 194 S 35 L 297.5",PM53,2025-04-30 07:54:00,2025-04-30 08:30:00,18,2025-04-30,Mittwoch,7.152872477568087,7.9330788770865395,
726376,ZJDEE0001633,"Gehaeuseflanschrippe DRBS NPS 36""  B 194 S 35 L 297.5",PC60,2025-05-01 13:44:00,2025-05-01 13:45:00,18,2025-05-01,Donnerstag,1.6091822523413564,1.6747268716348414,
728447,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PW21,2025-05-29 06:29:00,2025-05-29 07:44:00,22,2025-05-29,Donnerstag,0.6201443569363284,0.6712630962995951,
728447,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PDD10,2025-06-05 12:57:00,2025-06-05 13:00:00,23,2025-06-05,Donnerstag,4.600121525862598,4.909404296618958,
728447,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PM32,2025-06-10 06:21:00,2025-06-10 09:33:00,24,2025-06-10,Dienstag,3.009405006522127,3.5125964513729047,
728448,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PW21,2025-05-26 19:11:00,2025-05-26 21:26:00,22,2025-05-26,Montag,9.581529094951039,10.996093764260328,
728448,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PM32,2025-06-02 08:22:00,2025-06-02 11:18:00,23,2025-06-02,Montag,2.494853647350795,2.8772806294709805,
728448,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",95110,2025-06-06 13:00:00,2025-06-08 14:00:00,23,2025-06-06,Freitag,1.5808198575198111,1.6812450254676312,
728449,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PC71,2025-05-23 20:21:00,2025-05-23 21:45:00,21,2025-05-23,Freitag,2.481437032341884,2.9521311376265604,
728449,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PM32,2025-06-02 08:22:00,2025-06-02 11:18:00,23,2025-06-02,Montag,8.197374786615672,9.624307224157903,
728449,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",95110,2025-06-06 13:00:00,2025-06-08 14:00:00,23,2025-06-06,Freitag,1.7786077711231685,2.1213206536300118,
728450,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PC71,2025-05-23 20:21:00,2025-05-23 21:45:00,21,2025-05-23,Freitag,8.364582900586516,9.784665583393343,
728450,ZJDE450249,"Kompensator DRBS NPS 30"" DI 727 DA 840 L 310.8",PM32,2025-06-02 08:22:00,2025-06-02 11:18:00,23,2025-06-02,Montag,4.640425456036841,4.807081888038783,
728454,ZJDEE0001113,Flachzuschnitt B 110  S 10  L 150,PC00,2025-04-04 21:44:00,2025-04-04 21:45:00,14,2025-04-04,Freitag,0.016865930187051553,0.013873897546456916,0.016666666666666666
728457,ZJDEE0001113,Flachzuschnitt B 110  S 10  L 150,PC00,2025-04-04 21:44:00,2025-04-04 21:45:00,14,2025-04-04,Freitag,0.014688040050612286,0.018000988864723788,0.016666666666666666
728458,ZJDEE0001113,Flachzuschnitt B 110  S 10  L 150,PC11,2025-04-04 08:19:00,2025-04-04 08:30:00,14,2025-04-04,Freitag,0.17269990624325607,0.19933698114031553,0.18333333333333332
729621,ZJDEE0001838,"Flanschblech DRBS NPS 42"" B 1410 S 35 L 3792",PC21,2025-04-09 05:12:00,2025-04-09 07:17:00,15,2025-04-09,Mittwoch,2.057126268506067,1.9325105317293048,2.0833333333333335
729622,ZJDEE0001838,"Flanschblech DRBS NPS 42"" B 1410 S 35 L 3792",PC21,2025-04-09 05:12:00,2025-04-09 07:17:00,15,2025-04-09,Mittwoch,2.1541758051079376,2.1706867565185175,2.0833333333333335
729623,ZJDEE0001838,"Flanschblech DRBS NPS 42"" B 1410 S 35 L 3792",PC21,2025-04-09 05:12:00,2025-04-09 07:17:00,15,2025-04-09,Mittwoch,2.100838449974451,1.6982355101273952,2.0833333333333335
729625,ZJDEE0001838,"Flanschblech DRBS NPS 42"" B 1410 S 35 L 3792",PM37,2025-04-11 06:30:00,2025-04-11 08:30:00,15,2025-04-11,Freitag,1.417100567284551,2.162005771354023,2.0
729632,ZJDEE0001833,"Flanschblech DRBS NPS 42"" B 700 S 60 L 1595",PC00,2025-05-02 21:44:00,2025-05-02 21:45:00,18,2025-05-02,Freitag,9.121206847918636,9.218174580685952,
729633,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PC11,2025-04-03 20:24:00,2025-04-03 20:47:00,14,2025-04-03,Donnerstag,0.2571764512041866,0.3801364751219556,0.38333333333333336
729633,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC10,2025-06-03 21:18:00,2025-06-03 21:45:00,23,2025-06-03,Dienstag,1.0327589923667237,1.0029949873591342,
729634,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PM52,2025-04-21 14:31:00,2025-04-21 21:12:00,17,2025-04-21,Montag,4.983364926092816,7.169270480094375,6.683333333333334
729634,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC00,2025-04-29 21:44:00,2025-04-29 21:45:00,18,2025-04-29,Dienstag,5.23086737539833,5.647386349406749,
729634,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PW34,2025-04-30 16:27:00,2025-05-01 07:42:00,18,2025-04-30,Mittwoch,3.4200636877171946,3.751780951511562,
729634,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PST10,2025-05-28 11:39:00,2025-05-29 13:45:00,22,2025-05-28,Mittwoch,6.892865141303173,7.094487949069239,
729824,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",PDS10,2025-05-29 17:05:00,2025-05-29 18:47:00,22,2025-05-29,Donnerstag,1.9703636779224665,2.1083161266194548,
729824,ZJDE202695,"Schieberplatte DRBS NPS 42"" DA 1058 S 60",QC10,2025-06-03 20:27:00,2025-06-03 21:45:00,23,2025-06-03,Dienstag,7.28013630289387,6.791302954112087,
729827,ZJDEE0001561,TRAGOESE A 3 D 52,PM42,2025-04-25 08:19:00,2025-04-25 08:30:00,17,2025-04-25,Freitag,0.11090017577335737,0.19968166762035192,0.18333333333333332
729832,ZJDEE0001561,TRAGOESE A 3 D 52,PC21,2025-04-24 10:57:00,2025-04-24 11:20:00,17,2025-04-24,Donnerstag,0.312815754473607,0.4110407394467836,0.38333333333333336
729837,ZJDEE0001847,Tragoese B 210 S 35 L 210 D 52,PC60,2025-04-28 13:44:00,2025-04-28 13:45:00,18,2025-04-28,Montag,7.842807625784641,7.774872894517148,
726185,ZJDEE0003984,"Gehaeuseflanschrippe DRBS NPS 36""  B 194 S 35 L 297.5",PC21,2025-04-29 10:43:00,2025-04-29 10:55:00,18,2025-04-29,Dienstag,5.350665399610015,6.059755094649471,
726185,ZJDEE0003984,"Gehaeuseflanschrippe DRBS NPS 36""  B 194 S 35 L 297.5",PM53,2025-04-30 07:54:00,2025-04-30 08:30:00,18,2025-04-30,Mittwoch,0.9073899032481411,0.8305381052632607,
726187,ZJDEE0001996,"Kompensatorring DRBS NPS 36"" DI 891 DA 989 H 113",PM00,2025-06-03 13:44:00,2025-06-03 13:45:00,23,2025-06-03,Dienstag,3.259080801499323,3.57475466042077,
726194,ZJDEE0001561,TRAGOESE A 3 D 52,PC21,2025-04-29 10:57:00,2025-04-29 11:20:00,18,2025-04-29,Dienstag,6.373066714102041,6.680071808041777,
726195,ZJDEE0001567,TRAGOESE B 210 S 35 L 190 D 52,PM42,2025-04-30 08:19:00,2025-04-30 08:30:00,18,2025-04-30,Mittwoch,6.462644139983609,6.790668730164426,
728460,ZJDEE0001293,Flachzuschnitt B 25 S 8 L 253,PC11,2025-06-13 07:37:00,2025-06-13 08:25:00,24,2025-06-13,Freitag,6.649566394534033,6.291094059994509,
728461,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PM54,2025-06-12 06:15:00,2025-06-12 08:24:00,24,2025-06-12,Donnerstag,4.714543334104985,5.512417178795556,
728462,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PC22,2025-05-20 07:38:00,2025-05-20 08:29:00,21,2025-05-20,Dienstag,4.488459806778861,4.107514659543284,
728462,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PW21,2025-05-23 11:45:00,2025-05-23 12:32:00,21,2025-05-23,Freitag,6.04127924251372,7.175067483496843,
728463,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PC71,2025-05-28 07:41:00,2025-05-28 08:29:00,22,2025-05-28,Mittwoch,6.130644587158813,5.713920346439135,
728463,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PDS10,2025-06-06 14:23:00,2025-06-06 14:56:00,23,2025-06-06,Freitag,3.426511830931947,3.3846277087896017,
728463,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PC81,2025-06-09 12:11:00,2025-06-09 12:56:00,24,2025-06-09,Montag,9.699013465972744,11.624283697193125,
728464,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PC91,2025-05-27 09:32:00,2025-05-27 10:41:00,22,2025-05-27,Dienstag,1.5258570735314696,1.6973710778022344,
728464,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",95110,2025-06-03 13:00:00,2025-06-05 14:00:00,23,2025-06-03,Dienstag,1.0890412692679092,1.2498663673233166,
728464,ZJDEE0001531,"Haube DRBS NPS 30"" B 615  S 50  L 1235",PC81,2025-06-09 12:11:00,2025-06-09 12:56:00,24,2025-06-09,Montag,8.83120180821772,9.28864899565361,
728465,ZJDEE0001532,BLECHZUSCHNITT B 615 S 50 L 1235,PC21,2025-05-14 07:43:00,2025-05-14 08:30:00,20,2025-05-14,Mittwoch,7.371840101869797,8.141464071147173,
728467,ZJDEE0001532,BLECHZUSCHNITT B 615 S 50 L 1235,PC00,2025-05-14 21:44:00,2025-05-14 21:45:00,20,2025-05-14,Mittwoch,1.1214503793020305,1.3311925982810382,
729635,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PC11,2025-04-03 20:24:00,2025-04-03 20:47:00,14,2025-04-03,Donnerstag,0.2635896014204182,0.3150835409317952,0.38333333333333336
729635,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC00,2025-04-10 15:29:00,2025-04-10 15:30:00,15,2025-04-10,Donnerstag,0.015427230570313435,0.015265407520195609,0.016666666666666666
729635,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC10,2025-04-14 15:54:00,2025-04-14 18:54:00,16,2025-04-14,Montag,3.3427861879464436,3.175302729243438,3.0
729635,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PW34,2025-04-28 00:29:00,2025-04-28 17:44:00,18,2025-04-28,Montag,2.751062674894301,2.792954165885573,
729635,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PM38,2025-06-02 17:09:00,2025-06-03 08:03:00,23,2025-06-02,Montag,3.699657891585924,3.7105902316750927,
729636,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC10,2025-04-14 15:54:00,2025-04-14 18:54:00,16,2025-04-14,Montag,2.1603818962527734,2.9621382239385823,3.0
729636,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PC61,2025-04-15 15:54:00,2025-04-15 20:15:00,16,2025-04-15,Dienstag,2.9613933272102186,3.792800975201147,4.35
729640,ZJDEE0003523,"Gehaeuseboden DRBS NPS 42""",PC60,2025-04-29 13:44:00,2025-04-29 13:45:00,18,2025-04-29,Dienstag,8.71991573848151,9.618380236859224,
729636,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",QC00,2025-05-02 21:00:00,2025-05-02 21:01:00,18,2025-05-02,Freitag,6.699942741203012,7.93268092315941,
729636,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PDS10,2025-05-14 15:14:00,2025-05-14 19:05:00,20,2025-05-14,Mittwoch,6.8723002458967715,6.8111652969527166,
729636,ZJDEE0001837,"Gehaeuse DRBS NPS 42""  FtF 1200",PC81,2025-05-15 16:05:00,2025-05-15 20:20:00,20,2025-05-15,Donnerstag,1.3102505485714464,1.2381576364042741,
729638,ZJDEE0003523,"Gehaeuseboden DRBS NPS 42""",PW21,2025-04-24 06:59:00,2025-04-24 10:50:00,17,2025-04-24,Donnerstag,2.8034011250984268,3.2233122273952395,3.85
729642,ZJDEE0001863,"Gehaeuseflanschrippe DRBS NPS 42""  B 1170 S 35 L 433",PDD10,2025-04-14 12:56:00,2025-04-14 13:00:00,16,2025-04-14,Montag,0.07892622615371853,0.0678211891225464,0.06666666666666667
729643,ZJDEE0001863,"Gehaeuseflanschrippe DRBS NPS 42""  B 1170 S 35 L 433",91191,2025-04-15 13:00:00,2025-04-24 14:00:00,16,2025-04-15,Dienstag,14.0,14.0,217.0
729645,ZJDEE0001863,"Gehaeuseflanschrippe DRBS NPS 42""  B 1170 S 35 L 433",91191,2025-04-15 13:00:00,2025-04-24 14:00:00,16,2025-04-15,Dienstag,14.0,14.0,217.0
729648,ZJDEE0001863,"Gehaeuseflanschrippe DRBS NPS 42""  B 1170 S 35 L 433",91191,2025-04-15 13:00:00,2025-04-24 14:00:00,16,2025-04-15,Dienstag,14.0,14.0,217.0
729648,ZJDEE0001863,"Gehaeuseflanschrippe DRBS NPS 42""  B 1170 S 35 L 433",PC60,2025-04-28 13:30:00,2025-04-28 13:45:00,18,2025-04-28,Montag,1.835914336006577,1.7979565421884722,
729840,ZJDEE0001847,Tragoese B 210 S 35 L 210 D 52,PM42,2025-04-25 08:19:00,2025-04-25 08:30:00,17,2025-04-25,Freitag,0.1305911823154668,0.1959609338315768,0.18333333333333332
729844,ZJDEE0001847,Tragoese B 210 S 35 L 210 D 52,PC60,2025-04-28 13:44:00,2025-04-28 13:45:00,18,2025-04-28,Montag,2.5268921768405184,2.8593598128083286,
729847,ZJDEE0001847,Tragoese B 210 S 35 L 210 D 52,PC21,2025-04-24 11:03:00,2025-04-24 11:20:00,17,2025-04-24,Donnerstag,0.21900691659248891,0.29371077524106015,0.2833333333333333
729849,ZJDEE0001847,Tragoese B 210 S 35 L 210 D 52,PC21,2025-04-24 11:03:00,2025-04-24 11:20:00,17,2025-04-24,Donnerstag,0.2766184462852309,0.2780439452007793,0.2833333333333333
726201,ZJDEE0001632,"Gehaeuseflanschrippe DRBS NPS 36""  B 295 S 35 L 1080",PC00,2025-05-01 21:44:00,2025-05-01 21:45:00,18,2025-05-01,Donnerstag,2.965639401204712,3.254721673780184,
